CourseID,CourseName,Term,ClassYear,Section,Day,StartTime,EndTime,Instructor,Hours,Type
1,PHYS131,1,1,1,Monday,09:20,10:10,Ali Kiracı,3+2,Lecture
1,PHYS131,1,1,1,Monday,10:20,11:10,Ali Kiracı,3+2,Lecture
1,PHYS131,1,1,1,Wednesday,09:20,10:10,Ali Kiracı,3+2,Lecture
1,PHYS131,1,1,1,Thursday,13:20,15:10,Hakan Gündüz,3+2,Lab
1,PHYS131,1,1,1,Tuesday,15:20,17:10,Hakan Gündüz,3+2,Lab
1,PHYS131,1,1,2,Monday,09:20,10:10,Ali Kiracı,3+2,Lecture
1,PHYS131,1,1,2,Monday,10:20,11:10,Ali Kiracı,3+2,Lecture
1,PHYS131,1,1,2,Wednesday,09:20,10:10,Ali Kiracı,3+2,Lecture
1,PHYS131,1,1,2,Thursday,13:20,15:10,Hakan Gündüz,3+2,Lab
1,PHYS131,1,1,2,Tuesday,15:20,17:10,Hakan Gündüz,3+2,Lab
1,PHYS131,1,1,3,Monday,09:20,10:10,Ali Kiracı,3+2,Lecture
1,PHYS131,1,1,3,Monday,10:20,11:10,Ali Kiracı,3+2,Lecture
1,PHYS131,1,1,3,Wednesday,09:20,10:10,Ali Kiracı,3+2,Lecture
1,PHYS131,1,1,3,Thursday,13:20,15:10,Hakan Gündüz,3+2,Lab
1,PHYS131,1,1,3,Friday,11:20,13:10,Hakan Gündüz,3+2,Lab
1,PHYS131,1,1,4,Monday,09:20,10:10,Ali Kiracı,3+2,Lecture
1,PHYS131,1,1,4,Monday,10:20,11:10,Ali Kiracı,3+2,Lecture
1,PHYS131,1,1,4,Wednesday,09:20,10:10,Ali Kiracı,3+2,Lecture
1,PHYS131,1,1,4,Thursday,13:20,15:10,Hakan Gündüz,3+2,Lab
1,PHYS131,1,1,4,Friday,11:20,13:10,Hakan Gündüz,3+2,Lab
2,TURK101,1,1,1,Monday,11:20,12:10,Naim Atabağsoy,2+0,Lecture
3,ENG121,1,1,2,Monday,13:20,16:10,Sevilay KAPLAN ALTUN,3+0,Lecture
4,MATH157,1,1,2,Monday,13:20,15:10,Özlem DEFTERLİ,4+0,Lecture
4,MATH157,1,1,2,Wednesday,13:20,15:10,Özlem DEFTERLİ,4+0,Lecture
4,MATH157,1,1,5,Wednesday,13:20,15:10,Özlem DEFTERLİ,4+0,Lecture
4,MATH157,1,1,5,Monday,13:20,15:10,Özlem DEFTERLİ,4+0,Lecture
5,BIO101,1,1,3,Thursday,09:20,12:10,Esin Demir,3+0,Lecture
6,ESR103,1,1,1,Monday,09:20,10:10,Dilek IŞIK TAŞGIN,1+0,Lecture
7,SENG101,1,1,1,Tuesday,12:20,15:10,S. Esmelioglu,3+2,Lecture
7,SENG101,1,1,1,Wednesday,11:20,13:10,Hakan Gündüz,3+2,Lab
7,SENG101,1,1,2,Tuesday,12:20,15:10,S. Esmelioglu,3+2,Lecture
7,SENG101,1,1,2,Friday,09:20,11:10,Hakan Gündüz,3+2,Lab
8,PHYS132,2,1,2,Tuesday,09:20,10:10,Cüneyt CAN,3+2,Lecture
8,PHYS132,2,1,2,Tuesday,10:20,11:10,Cüneyt CAN,3+2,Lecture
8,PHYS132,2,1,2,Friday,09:20,10:10,Cüneyt CAN,3+2,Lecture
8,PHYS132,2,1,2,Friday,11:20,13:10,Hakan Gündüz,3+2,Lab
